"date","eq_btc"
2021-11-15,NA
2021-11-16,0.94655854669849
2021-11-17,0.949811733462645
2021-11-18,0.895910069655392
2021-11-19,0.914435570682845
2021-11-20,0.914435570682845
2021-11-21,0.914435570682845
2021-11-22,0.914435570682845
2021-11-23,0.935226045908203
2021-11-24,0.914291584148587
2021-11-25,0.914291584148587
2021-11-26,0.914291584148587
2021-11-27,0.914291584148587
2021-11-28,0.914291584148587
2021-11-29,0.914291584148587
2021-11-30,0.901620426238785
2021-12-01,0.905169662720191
2021-12-02,0.893275547079378
2021-12-03,0.847731120790841
2021-12-04,0.847731120790841
2021-12-05,0.847731120790841
2021-12-06,0.847731120790841
2021-12-07,0.849699687906447
2021-12-08,0.84642677322811
2021-12-09,0.798953012922548
2021-12-10,0.791766335428373
2021-12-11,0.791766335428373
2021-12-12,0.791766335428373
2021-12-13,0.791766335428373
2021-12-14,0.789651326868123
2021-12-15,0.828345441896089
2021-12-16,0.807486392482953
2021-12-17,0.782697361893505
2021-12-18,0.782697361893505
2021-12-19,0.782697361893505
2021-12-20,0.782697361893505
2021-12-21,0.817029255914662
2021-12-22,0.81188529572868
2021-12-23,0.847881603978942
2021-12-24,0.847881603978942
2021-12-25,0.847881603978942
2021-12-26,0.847881603978942
2021-12-27,0.847881603978942
2021-12-28,0.79678874552863
2021-12-29,0.777632128358949
2021-12-30,0.78991181159689
2021-12-31,0.775317122191889
2022-01-01,0.775317122191889
2022-01-02,0.775317122191889
2022-01-03,0.775317122191889
2022-01-04,0.765962490801164
2022-01-05,0.727102103363967
2022-01-06,0.72029194944307
2022-01-07,0.693539798856873
2022-01-08,0.693539798856873
2022-01-09,0.693539798856873
2022-01-10,0.693539798856873
2022-01-11,0.708706896628253
2022-01-12,0.728826673441348
2022-01-13,0.706314154416968
2022-01-14,0.714740672531222
2022-01-15,0.714740672531222
2022-01-16,0.714740672531222
2022-01-17,0.714740672531222
2022-01-18,0.714740672531222
2022-01-19,0.704092592326441
2022-01-20,0.686147848847197
2022-01-21,0.614917704289721
2022-01-22,0.614917704289721
2022-01-23,0.614917704289721
2022-01-24,0.614917704289721
2022-01-25,0.619945103586444
2022-01-26,0.618235904472074
2022-01-27,0.62303577753135
2022-01-28,0.633874794582033
2022-01-29,0.633874794582033
2022-01-30,0.633874794582033
2022-01-31,0.633874794582033
2022-02-01,0.638159829578052
2022-02-02,0.608671083231838
2022-02-03,0.61199202074174
2022-02-04,0.683581663796785
2022-02-05,0.683581663796785
2022-02-06,0.683581663796785
2022-02-07,0.683581663796785
2022-02-08,0.68791888883384
2022-02-09,0.69135473071254
2022-02-10,0.679291033672638
2022-02-11,0.661247717051112
2022-02-12,0.661247717051112
2022-02-13,0.661247717051112
2022-02-14,0.661247717051112
2022-02-15,0.692119850634051
2022-02-16,0.682596452985208
2022-02-17,0.629434318832006
2022-02-18,0.621561576320303
2022-02-19,0.621561576320303
2022-02-20,0.621561576320303
2022-02-21,0.621561576320303
2022-02-22,0.621561576320303
2022-02-23,0.605498053549368
2022-02-24,0.622317820903006
2022-02-25,0.636630470996049
2022-02-26,0.636630470996049
2022-02-27,0.636630470996049
2022-02-28,0.636630470996049
2022-03-01,0.653748525057438
2022-03-02,0.647403043967202
2022-03-03,0.625702216019434
2022-03-04,0.576854050495677
2022-03-05,0.576854050495677
2022-03-06,0.576854050495677
2022-03-07,0.576854050495677
2022-03-08,0.587087591328236
2022-03-09,0.636277545425407
2022-03-10,0.597699430808363
2022-03-11,0.587962118342615
2022-03-12,0.587962118342615
2022-03-13,0.587962118342615
2022-03-14,0.587962118342615
2022-03-15,0.583100787832537
2022-03-16,0.609857618124645
2022-03-17,0.607003526118532
2022-03-18,0.619599386327605
2022-03-19,0.619599386327605
2022-03-20,0.619599386327605
2022-03-21,0.619599386327605
2022-03-22,0.638918503968825
2022-03-23,0.646975324543215
2022-03-24,0.663084134262829
2022-03-25,0.668933463067024
2022-03-26,0.668933463067024
2022-03-27,0.668933463067024
2022-03-28,0.668933463067024
2022-03-29,0.673727143687833
2022-03-30,0.668006031299642
2022-03-31,0.646374587696003
2022-04-01,0.656920263678307
2022-04-02,0.656920263678307
2022-04-03,0.656920263678307
2022-04-04,0.656920263678307
2022-04-05,0.641890537135898
2022-04-06,0.60878920887276
2022-04-07,0.612975523057772
2022-04-08,0.595839319832629
2022-04-09,0.595839319832629
2022-04-10,0.595839319832629
2022-04-11,0.595839319832629
2022-04-12,0.604964649002531
2022-04-13,0.620637044970386
2022-04-14,0.602075028175568
2022-04-15,0.602075028175568
2022-04-16,0.602075028175568
2022-04-17,0.602075028175568
2022-04-18,0.602075028175568
2022-04-19,0.612052071720258
2022-04-20,0.610158949122872
2022-04-21,0.597667784849163
2022-04-22,0.586061053257731
2022-04-23,0.586061053257731
2022-04-24,0.586061053257731
2022-04-25,0.586061053257731
2022-04-26,0.552152575849219
2022-04-27,0.568429416813781
2022-04-28,0.576145973799566
2022-04-29,0.559284731226554
2022-04-30,0.559284731226554
2022-05-01,0.559284731226554
2022-05-02,0.559284731226554
2022-05-03,0.547978723148219
2022-05-04,0.5762543466958
2022-05-05,0.530918100301718
2022-05-06,0.523163477925729
2022-05-07,0.523163477925729
2022-05-08,0.523163477925729
2022-05-09,0.523163477925729
2022-05-10,0.53569913324787
2022-05-11,0.499668871093005
2022-05-12,0.501592449743105
2022-05-13,0.505656467054178
2022-05-14,0.505656467054178
2022-05-15,0.505656467054178
2022-05-16,0.505656467054178
2022-05-17,0.515188488517401
2022-05-18,0.486308505646469
2022-05-19,0.513300108170276
2022-05-20,0.494444084725151
2022-05-21,0.494444084725151
2022-05-22,0.494444084725151
2022-05-23,0.494444084725151
2022-05-24,0.503903031664086
2022-05-25,0.502318973827941
2022-05-26,0.497304057324624
2022-05-27,0.486435218930388
2022-05-28,0.486435218930388
2022-05-29,0.486435218930388
2022-05-30,0.486435218930388
2022-05-31,0.486435218930388
2022-06-01,0.45593798602196
2022-06-02,0.466164902060119
2022-06-03,0.454489199064707
2022-06-04,0.454489199064707
2022-06-05,0.454489199064707
2022-06-06,0.454489199064707
2022-06-07,0.451371540063455
2022-06-08,0.437736822212977
2022-06-09,0.436253897560561
2022-06-10,0.421357730266216
2022-06-11,0.421357730266216
2022-06-12,0.421357730266216
2022-06-13,0.421357730266216
2022-06-14,0.41610006472237
2022-06-15,0.422958872682315
2022-06-16,0.381901432531127
2022-06-17,0.383584661355292
2022-06-18,0.383584661355292
2022-06-19,0.383584661355292
2022-06-20,0.383584661355292
2022-06-21,0.383584661355292
2022-06-22,0.370183323127155
2022-06-23,0.390535275934104
2022-06-24,0.393235280209815
2022-06-25,0.393235280209815
2022-06-26,0.393235280209815
2022-06-27,0.393235280209815
2022-06-28,0.384609455184936
2022-06-29,0.381260132667439
2022-06-30,0.375204868689994
2022-07-01,0.365431402980767
2022-07-02,0.365431402980767
2022-07-03,0.365431402980767
2022-07-04,0.365431402980767
2022-07-05,0.365431402980767
2022-07-06,0.371913399783306
2022-07-07,0.391629963880962
2022-07-08,0.393322799299684
2022-07-09,0.393322799299684
2022-07-10,0.393322799299684
2022-07-11,0.393322799299684
2022-07-12,0.380587086742874
2022-07-13,0.398079520487664
2022-07-14,0.405127339744948
2022-07-15,0.410374285140369
2022-07-16,0.410374285140369
2022-07-17,0.410374285140369
2022-07-18,0.410374285140369
2022-07-19,0.426868035818192
2022-07-20,0.423989916123044
2022-07-21,0.422765245769377
2022-07-22,0.414558917117525
2022-07-23,0.414558917117525
2022-07-24,0.414558917117525
2022-07-25,0.414558917117525
2022-07-26,0.412192330019607
2022-07-27,0.445004984135524
2022-07-28,0.462729806885053
2022-07-29,0.461968020324297
2022-07-30,0.461968020324297
2022-07-31,0.461968020324297
2022-08-01,0.461968020324297
2022-08-02,0.455308595774203
2022-08-03,0.452700772024632
2022-08-04,0.448429659525373
2022-08-05,0.461474931721761
2022-08-06,0.461474931721761
2022-08-07,0.461474931721761
2022-08-08,0.461474931721761
2022-08-09,0.448970300574961
2022-08-10,0.46415267307061
2022-08-11,0.464344297232393
2022-08-12,0.472974879886791
2022-08-13,0.472974879886791
2022-08-14,0.472974879886791
2022-08-15,0.472974879886791
2022-08-16,0.468003873571588
2022-08-17,0.457279420681661
2022-08-18,0.454864089907929
2022-08-19,0.40910507450545
2022-08-20,0.40910507450545
2022-08-21,0.40910507450545
2022-08-22,0.40910507450545
2022-08-23,0.411574736283407
2022-08-24,0.40903073074071
2022-08-25,0.41296684288162
2022-08-26,0.387331761094404
2022-08-27,0.387331761094404
2022-08-28,0.387331761094404
2022-08-29,0.387331761094404
2022-08-30,0.377768004244281
2022-08-31,0.382594960800143
2022-09-01,0.384071488545416
2022-09-02,0.381068528452024
2022-09-03,0.381068528452024
2022-09-04,0.381068528452024
2022-09-05,0.381068528452024
2022-09-06,0.381068528452024
2022-09-07,0.39022534400734
2022-09-08,0.391024589873186
2022-09-09,0.432520855222506
2022-09-10,0.432520855222506
2022-09-11,0.432520855222506
2022-09-12,0.432520855222506
2022-09-13,0.392426142073129
2022-09-14,0.391350813041184
2022-09-15,0.380912538692535
2022-09-16,0.382292498968359
2022-09-17,0.382292498968359
2022-09-18,0.382292498968359
2022-09-19,0.382292498968359
2022-09-20,0.369512859479647
2022-09-21,0.362796012997605
2022-09-22,0.379738328457291
2022-09-23,0.377471032218803
2022-09-24,0.377471032218803
2022-09-25,0.377471032218803
2022-09-26,0.377471032218803
2022-09-27,0.375269260281855
2022-09-28,0.381477890488883
2022-09-29,0.384351339403461
2022-09-30,0.381577416655557
2022-10-01,0.381577416655557
2022-10-02,0.381577416655557
2022-10-03,0.381577416655557
2022-10-04,0.39544671615263
2022-10-05,0.392021955354178
2022-10-06,0.388030445768393
2022-10-07,0.380085404804109
2022-10-08,0.380085404804109
2022-10-09,0.380085404804109
2022-10-10,0.380085404804109
2022-10-11,0.378296989349585
2022-10-12,0.380402335261115
2022-10-13,0.384879191269984
2022-10-14,0.380962509456048
2022-10-15,0.380962509456048
2022-10-16,0.380962509456048
2022-10-17,0.380962509456048
2022-10-18,0.37674691256573
2022-10-19,0.3729494995987
2022-10-20,0.371277715361509
2022-10-21,0.373591237614215
2022-10-22,0.373591237614215
2022-10-23,0.373591237614215
2022-10-24,0.373591237614215
2022-10-25,0.388080339111878
2022-10-26,0.401107540485765
2022-10-27,0.391749101544849
2022-10-28,0.397726300038489
2022-10-29,0.397726300038489
2022-10-30,0.397726300038489
2022-10-31,0.397726300038489
2022-11-01,0.3975225445587
2022-11-02,0.391200894354845
2022-11-03,0.392180557978652
2022-11-04,0.410368008606513
2022-11-05,0.410368008606513
2022-11-06,0.410368008606513
2022-11-07,0.410368008606513
2022-11-08,0.369306045641776
2022-11-09,0.316314238181105
2022-11-10,0.350294263150907
2022-11-11,0.339289966273023
2022-11-12,0.339289966273023
2022-11-13,0.339289966273023
2022-11-14,0.339289966273023
2022-11-15,0.339289966273023
